Region,Project Name,Type,Location,Status,Source
Oost-Nederland,A1 Apeldoorn-Azelo,Road,Apeldoorn/Twente,Construction (Aanleg),"MIRT 2026, p.375"
Oost-Nederland,A12/A15 Ressen-Oudbroeken (ViA15),Road,Arnhem/Nijmegen,Construction (Aanleg - Pending),"MIRT 2026, p.377"
Oost-Nederland,PHS Nijmegen,Rail,Nijmegen,Construction (Aanleg),"MIRT 2026, p.385"
Oost-Nederland,Rivierklimaatpark IJsselpoort,Water,IJssel,Planning,"MIRT 2026, p.373"
Oost-Nederland,A50 Ewijk-Bankhoef-Paalgraven,Road,Nijmegen/Eindhoven corridor,Paused (Planning),"MIRT 2026, p.358"
Oost-Nederland,A1/A30 Barneveld,Road,Barneveld,Paused (Planning),"MIRT 2026, p.352"
Oost-Nederland,A1/A35 Knooppunt Azelo-Buren,Road,Twente,Paused (Planning),"MIRT 2026, p.354"
Oost-Nederland,RegioExpres,Rail,Arnhem-Winterswijk,Planning,"MIRT 2026, p.368"
Noord-Nederland,A7 Zuidelijke Ringweg Groningen (Phase 2),Road,Groningen,Construction (Aanleg),"MIRT 2026, p.422"
Noord-Nederland,Verruiming Sluiscomplex Kornwerderzand,Water,Afsluitdijk,Construction (Aanleg),"MIRT 2026, p.424"
Noord-Nederland,N33 Zuidbroek-Appingedam,Road,Groningen,Planning,"MIRT 2026, p.416"
Noord-Nederland,Lelylijn,Rail,Lelystad-Groningen,Research (Onderzoek),"MIRT 2026, p.403"
Noord-Nederland,Nedersaksenlijn,Rail,Enschede-Groningen,Research (Onderzoek),"MIRT 2026, p.405"
Noord-Nederland,Vaarweg Lemmer-Delfzijl,Water,Friesland/Groningen,Planning,"MIRT 2026, p.418"
Noord-Nederland,Bereikbaarheid Ameland,Water,Wadden Sea,Exploration (Verkenning),"MIRT 2026, p.406"
Nationaal,Programma Goederenvervoercorridors,Logistics/Multi-modal,National Corridors,Program,"MIRT 2026, p.43"
Nationaal,Programma Vernieuwing Hoofdwegen,Road,National,Program,"MIRT 2026, p.50"
Nationaal,Programma Vernieuwing Hoofdvaarwegen,Water,National,Program,"MIRT 2026, p.62"
Nationaal,Hoogwaterbeschermingsprogramma (HWBP),Water,National,Program,"MIRT 2026, p.143"
Nationaal,ERTMS (European Rail Traffic Management System),Rail,National,Construction (Aanleg),"MIRT 2026, p.102"
Nationaal,PHS (Programma Hoogfrequent Spoorvervoer),Rail,National,Planning/Construction,"MIRT 2026, p.85"
