Name,Latitude,Longitude,Demand Volume (estimate tons),hub_assigned,hub_lat,hub_lon,hub_total_demand
"Development of the area ""Langs Eem en Spoor""",52.15,5.38,2000000,2,52.5251,5.3427,16200000
"""Kop van Isselt"" and ""Ocriet eiland"" housing projects (2,600 homes)",52.15,5.38,1560000,2,52.5251,5.3427,16200000
"""Nieuwe stad"" and ""Wagenwerkplaats"" housing projects (1,400 homes)",52.15,5.38,840000,2,52.5251,5.3427,16200000
Rivierklimaatpark IJsselpoort,51.98,5.95,2500000,6,51.4348,5.9456,27060000
Nijmegen omarmt de Waal (Waalfront),51.85,5.85,1260000,6,51.4348,5.9456,27060000
Hub 's-Hertogenbosch,51.69,5.29,11380000,4,51.5859,5.3813,38880000
Baarlo-Hout-Blerick,51.34,6.1,2500000,6,51.4348,5.9456,27060000
Well,51.55,6.09,2500000,6,51.4348,5.9456,27060000
Meanderende Maas,51.78,5.58,2500000,4,51.5859,5.3813,38880000
Inframaatregelen MerwedeLingeLijn,51.85,5,150000,4,51.5859,5.3813,38880000
HOV-Net Zuid-Holland Noord,52.1601,4.497,800000,3,52.3206,4.7108,253700000
Derde perron Amsterdam Zuid,52.338,4.873,800000,3,52.3206,4.7108,253700000
A27 Houten-Hooipolder,51.82,4.95,2500000,4,51.5859,5.3813,38880000
PHS Meteren-Boxtel,51.7,5.3,2500000,4,51.5859,5.3813,38880000
A20 Nieuwerkerk a/d IJssel-Knooppunt Gouwe,52,4.65,2500000,3,52.3206,4.7108,253700000
Ecologische Waterkwaliteit Friese IJsselmeerkust,52.98,5.44,500000,2,52.5251,5.3427,16200000
Elektrificatie Almelo-Mariënberg en Zutphen-Hengelo-Oldenzaal,52.25,6.5,50000,5,52.9472,6.1646,22310000
Brainportregio Eindhoven,51.443,5.48,15400000,4,51.5859,5.3813,38880000
Gebiedsontwikkeling Vierwaarden,51.4,6.17,2500000,6,51.4348,5.9456,27060000
Toekomstvast Spoor Zuidoost-NL,51.44,5.48,1500000,4,51.5859,5.3813,38880000
Station Groningen Suiker,53.21,6.54,4860000,5,52.9472,6.1646,22310000
Oostvaardersoevers,52.45,5.25,2000000,2,52.5251,5.3427,16200000
OV knooppunt Nijmegen Centrumzijde & Fietsenstalling,51.8425,5.8528,300000,6,51.4348,5.9456,27060000
Randstadrail/Metronet,51.9225,4.4791,100000,1,51.9308,4.0683,31770000
A10 Knooppunten De Nieuwe Meer en Amstel,52.33,4.88,2500000,3,52.3206,4.7108,253700000
Zuidasdok,52.33,4.87,3000000,3,52.3206,4.7108,253700000
Project Mainportontwikkeling Rotterdam,51.9547,4.0202,25000000,1,51.9308,4.0683,31770000
Capaciteitsuitbreiding ligplaatsen Amsterdam - Lemmer,52.65,5.35,200000,2,52.5251,5.3427,16200000
Dijkversterking Marken,52.45,5.1,800000,2,52.5251,5.3427,16200000
PHS Alkmaar-Amsterdam,52.63,4.75,2500000,3,52.3206,4.7108,253700000
A7/A8 Amsterdam-Hoorn,52.508,4.965,500000,3,52.3206,4.7108,253700000
PHS Amsterdam,52.37,4.9,2500000,3,52.3206,4.7108,253700000
Eemszijlen/Groote Polder,53.3,6.95,600000,5,52.9472,6.1646,22310000
