Name,Latitude,Longitude,Demand Volume (estimate tons),hub_assigned,hub_lat,hub_lon,hub_total_demand
EuregioRail: Zwolle - Twente - Münster,52.2167,6.8833,200000,2,51.9007,5.7561,90800000
"Development of the area ""Langs Eem en Spoor""",52.15,5.38,2000000,2,51.9007,5.7561,90800000
"""Kop van Isselt"" and ""Ocriet eiland"" housing projects (2,600 homes)",52.15,5.38,1560000,2,51.9007,5.7561,90800000
"""Nieuwe stad"" and ""Wagenwerkplaats"" housing projects (1,400 homes)",52.15,5.38,840000,2,51.9007,5.7561,90800000
Rivierklimaatpark IJsselpoort,51.98,5.95,2500000,2,51.9007,5.7561,90800000
Nijmegen omarmt de Waal (Waalfront),51.85,5.85,1260000,2,51.9007,5.7561,90800000
Hub 's-Hertogenbosch,51.69,5.29,11380000,2,51.9007,5.7561,90800000
Baarlo-Hout-Blerick,51.34,6.1,2500000,2,51.9007,5.7561,90800000
Well,51.55,6.09,2500000,2,51.9007,5.7561,90800000
Meanderende Maas,51.78,5.58,2500000,2,51.9007,5.7561,90800000
Inframaatregelen MerwedeLingeLijn,51.85,5,150000,1,52.2888,4.6668,299120000
HOV-Net Zuid-Holland Noord,52.1601,4.497,800000,1,52.2888,4.6668,299120000
Derde perron Amsterdam Zuid,52.338,4.873,800000,1,52.2888,4.6668,299120000
A27 Houten-Hooipolder,51.82,4.95,2500000,1,52.2888,4.6668,299120000
PHS Meteren-Boxtel,51.7,5.3,2500000,2,51.9007,5.7561,90800000
A20 Nieuwerkerk a/d IJssel-Knooppunt Gouwe,52,4.65,2500000,1,52.2888,4.6668,299120000
Ecologische Waterkwaliteit Friese IJsselmeerkust,52.98,5.44,500000,1,52.2888,4.6668,299120000
Elektrificatie Almelo-Mariënberg en Zutphen-Hengelo-Oldenzaal,52.25,6.5,50000,2,51.9007,5.7561,90800000
Brainportregio Eindhoven,51.443,5.48,15400000,2,51.9007,5.7561,90800000
Gebiedsontwikkeling Vierwaarden,51.4,6.17,2500000,2,51.9007,5.7561,90800000
Toekomstvast Spoor Zuidoost-NL,51.44,5.48,1500000,2,51.9007,5.7561,90800000
Station Groningen Suiker,53.21,6.54,4860000,2,51.9007,5.7561,90800000
Oostvaardersoevers,52.45,5.25,2000000,1,52.2888,4.6668,299120000
OV knooppunt Nijmegen Centrumzijde & Fietsenstalling,51.8425,5.8528,300000,2,51.9007,5.7561,90800000
Randstadrail/Metronet,51.9225,4.4791,100000,1,52.2888,4.6668,299120000
A10 Knooppunten De Nieuwe Meer en Amstel,52.33,4.88,2500000,1,52.2888,4.6668,299120000
Zuidasdok,52.33,4.87,3000000,1,52.2888,4.6668,299120000
Project Mainportontwikkeling Rotterdam,51.9547,4.0202,25000000,1,52.2888,4.6668,299120000
Capaciteitsuitbreiding ligplaatsen Amsterdam - Lemmer,52.65,5.35,200000,1,52.2888,4.6668,299120000
Dijkversterking Marken,52.45,5.1,800000,1,52.2888,4.6668,299120000
PHS Alkmaar-Amsterdam,52.63,4.75,2500000,1,52.2888,4.6668,299120000
A7/A8 Amsterdam-Hoorn,52.508,4.965,500000,1,52.2888,4.6668,299120000
PHS Amsterdam,52.37,4.9,2500000,1,52.2888,4.6668,299120000
Eemszijlen/Groote Polder,53.3,6.95,600000,2,51.9007,5.7561,90800000
