Name,Type,Phase,Start Date,End Date,Latitude,Longitude,Demand Volume (estimate tons),hub_id,hub_name,waterway,cemt_class,hub_lat,hub_lon,snap_dist_km,snap_method,total_demand_tons
Noord-Hollandse Markermeerkust,Waterway,Exploration,2020,2030,52.5,5.05,1000000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
EuregioRail: Zwolle - Twente - Münster,Rail,Exploration,2024,2030,52.2167,6.8833,200000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
"Development of the area ""Langs Eem en Spoor""",Road,Planning,2027,2030,52.15,5.38,2000000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
"""Kop van Isselt"" and ""Ocriet eiland"" housing projects (2,600 homes)",Road,Planning,2027,2030,52.15,5.38,1560000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
"""Nieuwe stad"" and ""Wagenwerkplaats"" housing projects (1,400 homes)",Road,Planning,2027,2030,52.15,5.38,840000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Rivierklimaatpark IJsselpoort,Waterway,Planning,2026,2030,51.98,5.95,2500000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Nijmegen omarmt de Waal (Waalfront),Other,Construction,2009,2030,51.85,5.85,1260000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Hub 's-Hertogenbosch,Rail,Exploration,2021,2030,51.69,5.29,11380000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Baarlo-Hout-Blerick,Waterway,Planning,2023,2030,51.34,6.1,2500000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Well,Waterway,Planning,2023,2030,51.55,6.09,2500000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Meanderende Maas,Waterway,Construction,2024,2030,51.78,5.58,2500000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Inframaatregelen MerwedeLingeLijn,Rail,Exploration,2024,2030,51.85,5,150000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
HOV-Net Zuid-Holland Noord,Rail,Construction,2009,2030,52.1601,4.497,800000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
Derde perron Amsterdam Zuid,Rail,Planning,2023,2031,52.338,4.873,800000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
A27 Houten-Hooipolder,Road,Construction,2024,2031,51.82,4.95,2500000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
PHS Meteren-Boxtel,Rail,Construction,2024,2031,51.7,5.3,2500000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
A20 Nieuwerkerk a/d IJssel-Knooppunt Gouwe,Road,Planning,2028,2031,52,4.65,2500000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
Ecologische Waterkwaliteit Friese IJsselmeerkust,Waterway,Exploration,2020,2032,52.98,5.44,500000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
Elektrificatie Almelo-Mariënberg en Zutphen-Hengelo-Oldenzaal,Rail,Planning,2024,2032,52.25,6.5,50000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
Brainportregio Eindhoven,Rail,Exploration,2022,2032,51.443,5.48,15400000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Gebiedsontwikkeling Vierwaarden,Waterway,Exploration,2022,2032,51.4,6.17,2500000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Toekomstvast Spoor Zuidoost-NL,Rail,Planning,2022,2032,51.44,5.48,1500000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Station Groningen Suiker,Rail,Exploration,2024,2033,53.21,6.54,4860000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
Oostvaardersoevers,Waterway,Planning,2023,2033,52.45,5.25,2000000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
OV knooppunt Nijmegen Centrumzijde & Fietsenstalling,Rail,Exploration,2022,2033,51.8425,5.8528,300000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Randstadrail/Metronet,Rail,Planning,2027,2035,51.9225,4.4791,100000,4,Port of Rotterdam (Maasvlakte),Nieuwe Waterweg,VI,51.95,4.02,3.9,port,31770000
A10 Knooppunten De Nieuwe Meer en Amstel,Road,Construction,2022,2036,52.33,4.88,2500000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
Zuidasdok,Road,Construction,2022,2036,52.33,4.87,3000000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
Project Mainportontwikkeling Rotterdam,Waterway,Construction,2006,2040,51.9547,4.0202,25000000,4,Port of Rotterdam (Maasvlakte),Nieuwe Waterweg,VI,51.95,4.02,3.9,port,31770000
Capaciteitsuitbreiding ligplaatsen Amsterdam - Lemmer,Waterway,Planning,,2025-2027,52.65,5.35,200000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
Dijkversterking Marken,Other,Construction,2023,2027-2028,52.45,5.1,800000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
PHS Alkmaar-Amsterdam,Rail,Construction,2026,2029 - 2032,52.63,4.75,2500000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
A7/A8 Amsterdam-Hoorn,Road,Planning,2013,2030-2032,52.508,4.965,500000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
PHS Amsterdam,Rail,Construction,2021,2030-2032,52.37,4.9,2500000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
Eemszijlen/Groote Polder,Waterway,Exploration,2022,2027,53.3,6.95,600000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
