Region,Project Name,Type,Location,Status,Source,Dates
Zuidwest-Nederland,MoVe (Mobiliteit en Verstedelijking),Program,Rotterdam/Den Haag,Program,"MIRT 2026, p.224","2021, 2023, 2024, 2025, 2026, 2040, 2050"
Zuidwest-Nederland,Oude Lijn,Rail/Housing,Leiden-Dordrecht,Exploration (Verkenning),"MIRT 2026, p.232","2022, 2023, 2024, 2025, 2026, 2030"
Zuidwest-Nederland,De Vlietlijn (CID Binckhorst),OV/Housing,Den Haag/Binckhorst,Planning,"MIRT 2026, p.242","2020, 2021, 2022, 2023, 2025, 2026"
Zuidwest-Nederland,Oostflank Rotterdam (Stadsbrug & OV),Bridge/Housing,Rotterdam,Planning,"MIRT 2026, p.244","2022, 2023, 2024, 2025, 2026, 2030, 3145"
Zuidwest-Nederland,A4 Haaglanden-N14,Road,Den Haag,Paused (Planning),"MIRT 2026, p.236","2020, 2021, 2022, 2023, 2024, 2025, 2026, 2035"
Zuidwest-Nederland,A15 Papendrecht-Gorinchem,Road,Gorinchem,Paused (Verkenning),"MIRT 2026, p.227","2018, 2019-2022, 2020, 2022, 2023, 2024, 2025, 2026-2035, 2026"
Zuidwest-Nederland,A4 Burgerveen-N14,Road,Leiden,Paused (Planning),"MIRT 2026, p.234","2018, 2020, 2021, 2023, 2025, 2026"
Zuid-Nederland,A2 Het Vonderen-Kerensheide,Road,Limburg,Construction (Aanleg),"MIRT 2026, p.318","2017, 2020, 2021, 2022, 2023, 2024, 2025-2029, 2026"
Zuid-Nederland,A27 Houten-Hooipolder,Road,Noord-Brabant/Utrecht,Construction (Aanleg),"MIRT 2026, p.320","2022, 2023, 2024, 2025, 2026"
Zuid-Nederland,Maaslijn,Rail,Nijmegen-Roermond,Construction (Aanleg),"MIRT 2026, p.325","2020, 2021, 2022, 2023, 2024, 2026, 2027"
Zuid-Nederland,Meanderende Maas,Water,Ravenstein-Lith,Construction (Aanleg),"MIRT 2026, p.335","2020, 2021, 2022, 2024, 2026, 2027, 2028, 2030"
Zuid-Nederland,PHS Meteren-Boxtel,Rail,Vught/Boxtel,Construction (Aanleg),"MIRT 2026, p.327","2018, 2020, 2021, 2023, 2024, 2025, 2026, 2031"
Zuid-Nederland,A2/N2 Brainport,Road,Eindhoven,Exploration (Verkenning),"MIRT 2026, p.291","2021, 2022, 2023, 2024, 2025, 2026"
Zuid-Nederland,SmartwayZ.NL,Program,Zuid-Nederland,Program,"MIRT 2026, p.286","2023, 2024, 2024-2027, 2025-2027, 2025, 2026"
Zuid-Nederland,A58 Tilburg-Breda,Road,Tilburg/Breda,Paused (Verkenning),"MIRT 2026, p.289","2022, 2023, 2024, 2025, 2026, 2030"
Zuid-Nederland,A67 Leenderheide-Geldrop,Road,Eindhoven,Paused (Planning),"MIRT 2026, p.304","2019, 2020, 2021, 2023, 2024, 2025, 2026"
Zuid-Nederland,A2 Deil-Vught,Road,Den Bosch,Paused (Planning),"MIRT 2026, p.300","2020, 2021, 2022, 2023, 2024, 2025, 2026"
Oost-Nederland,A1 Apeldoorn-Azelo,Road,Apeldoorn/Twente,Construction (Aanleg),"MIRT 2026, p.375","2019, 2020-2021, 2020, 2021, 2022, 2023, 2024, 2025, 2026"
Oost-Nederland,A12/A15 Ressen-Oudbroeken (ViA15),Road,Arnhem/Nijmegen,Construction (Aanleg - Pending),"MIRT 2026, p.377","2021, 2022, 2023, 2024, 2025, 2026"
Oost-Nederland,PHS Nijmegen,Rail,Nijmegen,Construction (Aanleg),"MIRT 2026, p.385","2021, 2022, 2023, 2024, 2025, 2026, 2028, 2029"
Oost-Nederland,Rivierklimaatpark IJsselpoort,Water,IJssel,Planning,"MIRT 2026, p.373","2020, 2022, 2023, 2024, 2025, 2026-2027, 2026-2030, 2026, 2030"
Oost-Nederland,A50 Ewijk-Bankhoef-Paalgraven,Road,Nijmegen/Eindhoven corridor,Paused (Planning),"MIRT 2026, p.358","2021, 2024, 2025, 2026"
Oost-Nederland,A1/A30 Barneveld,Road,Barneveld,Paused (Planning),"MIRT 2026, p.352","2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028"
Oost-Nederland,A1/A35 Knooppunt Azelo-Buren,Road,Twente,Paused (Planning),"MIRT 2026, p.354","2020, 2021, 2022, 2023, 2025, 2026"
Oost-Nederland,RegioExpres,Rail,Arnhem-Winterswijk,Planning,"MIRT 2026, p.368","2022, 2023, 2026"
Noord-Nederland,A7 Zuidelijke Ringweg Groningen (Phase 2),Road,Groningen,Construction (Aanleg),"MIRT 2026, p.422","2021, 2022, 2024, 2025, 2026"
Noord-Nederland,Verruiming Sluiscomplex Kornwerderzand,Water,Afsluitdijk,Construction (Aanleg),"MIRT 2026, p.424","2020, 2023, 2024, 2025-2029, 2025, 2026"
Noord-Nederland,N33 Zuidbroek-Appingedam,Road,Groningen,Planning,"MIRT 2026, p.416","2020, 2022, 2023, 2024, 2025, 2026"
Noord-Nederland,Lelylijn,Rail,Lelystad-Groningen,Research (Onderzoek),"MIRT 2026, p.403","2023, 2024, 2025, 2026"
Noord-Nederland,Nedersaksenlijn,Rail,Enschede-Groningen,Research (Onderzoek),"MIRT 2026, p.405","2023, 2024, 2025, 2026"
Noord-Nederland,Vaarweg Lemmer-Delfzijl,Water,Friesland/Groningen,Planning,"MIRT 2026, p.418","2021, 2022, 2023, 2024, 2025, 2026-2027, 2026, 2029"
Noord-Nederland,Bereikbaarheid Ameland,Water,Wadden Sea,Exploration (Verkenning),"MIRT 2026, p.406","2024, 2025, 2026"
Nationaal,Programma Goederenvervoercorridors,Logistics/Multi-modal,National Corridors,Program,"MIRT 2026, p.43","2020, 2021, 2022, 2023, 2024, 2025, 2026, 2030"
Nationaal,Programma Vernieuwing Hoofdwegen,Road,National,Program,"MIRT 2026, p.50","2021, 2024, 2025, 2026, 2038, 2039"
Nationaal,Programma Vernieuwing Hoofdvaarwegen,Water,National,Program,"MIRT 2026, p.62","2024, 2025, 2026, 2038, 2039"
Nationaal,Hoogwaterbeschermingsprogramma (HWBP),Water,National,Program,"MIRT 2026, p.143","2022, 2023, 2024, 2025, 2026, 2029, 2030, 2038, 2050"
Nationaal,ERTMS (European Rail Traffic Management System),Rail,National,Construction (Aanleg),"MIRT 2026, p.102","2021, 2024, 2025, 2026, 2050"
Nationaal,PHS (Programma Hoogfrequent Spoorvervoer),Rail,National,Planning/Construction,"MIRT 2026, p.85","2024, 2025, 2026"
